"","pp_no","condition","bin","bin_no","trial","muscle","rms"
"123","pp1","stimtype1","bin_6",6,"trial6","brow",1.5585
"124","pp1","stimtype1","bin_6",6,"trial6","cheek",5.8677
"125","pp1","stimtype1","bin_7",7,"trial6","brow",1.256
"126","pp1","stimtype1","bin_7",7,"trial6","cheek",5.6645
"127","pp1","stimtype1","bin_8",8,"trial6","brow",2.1461
"128","pp1","stimtype1","bin_8",8,"trial6","cheek",8.2148
"129","pp1","stimtype1","bin_9",9,"trial6","brow",2.1939
"130","pp1","stimtype1","bin_9",9,"trial6","cheek",9.0157
"131","pp1","stimtype1","bin_10",10,"trial6","brow",2.345
"132","pp1","stimtype1","bin_10",10,"trial6","cheek",6.1248
"133","pp1","stimtype1","bin_0",0,"trial7","brow",6.4445
"134","pp1","stimtype1","bin_0",0,"trial7","cheek",18.1796
"135","pp1","stimtype1","bin_1",1,"trial7","brow",3.8663
"136","pp1","stimtype1","bin_1",1,"trial7","cheek",18.0188
"137","pp1","stimtype1","bin_2",2,"trial7","brow",6.0705
"138","pp1","stimtype1","bin_2",2,"trial7","cheek",43.0898
"139","pp1","stimtype1","bin_3",3,"trial7","brow",6.8287
"140","pp1","stimtype1","bin_3",3,"trial7","cheek",15.3704
"141","pp1","stimtype1","bin_4",4,"trial7","brow",3.0052
"142","pp1","stimtype1","bin_4",4,"trial7","cheek",9.6813
"143","pp1","stimtype1","bin_5",5,"trial7","brow",2.1106
"144","pp1","stimtype1","bin_5",5,"trial7","cheek",10.3705
"145","pp1","stimtype1","bin_6",6,"trial7","brow",2.1091
"146","pp1","stimtype1","bin_6",6,"trial7","cheek",7.0189
"147","pp1","stimtype1","bin_7",7,"trial7","brow",2.6387
"148","pp1","stimtype1","bin_7",7,"trial7","cheek",4.9016
"149","pp1","stimtype1","bin_8",8,"trial7","brow",3.7962
"150","pp1","stimtype1","bin_8",8,"trial7","cheek",7.81
"151","pp1","stimtype1","bin_9",9,"trial7","brow",2.1069
"152","pp1","stimtype1","bin_9",9,"trial7","cheek",10.7392
"153","pp1","stimtype1","bin_10",10,"trial7","brow",2.1308
"154","pp1","stimtype1","bin_10",10,"trial7","cheek",8.6939
"155","pp1","stimtype1","bin_0",0,"trial8","brow",4.2119
"156","pp1","stimtype1","bin_0",0,"trial8","cheek",111.4284
"157","pp1","stimtype1","bin_1",1,"trial8","brow",7.8567
"158","pp1","stimtype1","bin_1",1,"trial8","cheek",48.3873
"159","pp1","stimtype1","bin_2",2,"trial8","brow",8.9088
"160","pp1","stimtype1","bin_2",2,"trial8","cheek",24.6871
"161","pp1","stimtype1","bin_3",3,"trial8","brow",5.0464
"162","pp1","stimtype1","bin_3",3,"trial8","cheek",34.2453
"163","pp1","stimtype1","bin_4",4,"trial8","brow",4.0065
"164","pp1","stimtype1","bin_4",4,"trial8","cheek",164.8955
"165","pp1","stimtype1","bin_5",5,"trial8","brow",8.9773
"166","pp1","stimtype1","bin_5",5,"trial8","cheek",139.2367
"167","pp1","stimtype1","bin_6",6,"trial8","brow",8.5284
"168","pp1","stimtype1","bin_6",6,"trial8","cheek",168.9994
"169","pp1","stimtype1","bin_7",7,"trial8","brow",6.4682
"170","pp1","stimtype1","bin_7",7,"trial8","cheek",72.844
"171","pp1","stimtype1","bin_8",8,"trial8","brow",5.8875
"172","pp1","stimtype1","bin_8",8,"trial8","cheek",54.682
"173","pp1","stimtype1","bin_9",9,"trial8","brow",3.4285
"174","pp1","stimtype1","bin_9",9,"trial8","cheek",37.3465
"175","pp1","stimtype1","bin_10",10,"trial8","brow",4.0968
"176","pp1","stimtype1","bin_10",10,"trial8","cheek",26.3646
"177","pp1","stimtype2","bin_0",0,"trial1","brow",8.6906
"178","pp1","stimtype2","bin_0",0,"trial1","cheek",15.8689
"179","pp1","stimtype2","bin_1",1,"trial1","brow",2.6206
"180","pp1","stimtype2","bin_1",1,"trial1","cheek",7.0383
"181","pp1","stimtype2","bin_2",2,"trial1","brow",4.2563
"182","pp1","stimtype2","bin_2",2,"trial1","cheek",8.2349
"183","pp1","stimtype2","bin_3",3,"trial1","brow",2.8545
"184","pp1","stimtype2","bin_3",3,"trial1","cheek",8.6241
